x,y,r
0,0,37.5
597,3,37.5
597,367,37.5
0,368,37.5
135,155,37.5
186,232,37.5
204,304,37.5
205,323,37.5
321,340,37.5
367,331,37.5
346,241,37.5
345,149,37.5
345,104,37.5
345,77,37.5
353,46,37.5
354,47,37.5
361,83,37.5
485,158,37.5
549,146,37.5
450,187,37.5
418,206,37.5
403,234,37.5
404,259,37.5
403,275,37.5
289,214,37.5
261,222,37.5
245,249,37.5
214,247,37.5
171,226,37.5
166,213,37.5
284,226,37.5
288,247,37.5
283,271,37.5
291,289,37.5
318,321,37.5
272,229,37.5
365,111,37.5
367,100,37.5
363,53,37.5
358,54,37.5
363,119,37.5
363,149,37.5
